AcornPowder,1,2,5,5
AgaveLeaves,2,1,1,4
AgoutiEnchiladas,20,27,8,3
AmanitaMushrooms,0,0,0,0
AutumnStew,13,5,8,12
BakedAgave,14,4,2,8
BakedBeet,10,2,1,15
BakedCorn,12,2,3,11
BakedHeartOfPalm,12,4,6,6
BakedMeat,0,13,17,0
BakedRoast,4,10,16,4
BakedTaro,8,2,6,12
BakedTomato,16,5,1,6
BanhXeo,26,10,17,4
Bannock,15,6,3,0
BasicSalad,18,4,6,10
BeanPaste,3,7,5,0
BeanSprout,2,0,1,5
Bearclaw,14,21,4,7
BearSUPREME,6,23,22,9
Beet,2,2,0,4
BeetCampfireSalad,8,3,4,13
BeetGreens,3,0,1,4
BisonChowFun,16,20,13,8
BoiledGrains,9,0,2,1
BoiledRice,13,0,2,0
BoiledSausage,0,22,27,0
BoleteMushrooms,2,1,4,1
Bread,23,4,6,2
CamasBread,13,11,5,7
CamasBulbBake,12,5,7,4
CamasPaste,3,10,2,0
CampfireRoast,0,12,16,0
CampfireSalad,0,0,0,0
CampfireStew,5,9,10,4
CerealGerm,5,7,0,3
CharredAgave,5,3,1,3
CharredBeans,1,3,8,0
CharredBeet,3,3,0,6
CharredCactusFruit,4,2,0,6
CharredCamasBulb,2,6,3,1
CharredCorn,7,0,1,4
CharredFireweedShoots,5,0,1,6
CharredFish,0,4,11,0
CharredHeartOfPalm,6,1,3,2
CharredMeat,0,10,5,0
CharredMushrooms,3,2,6,1
CharredPapaya,3,0,1,8
CharredPineapple,8,0,1,3
CharredSausage,0,14,10,0
CharredTaro,10,0,1,1
CharredTomato,7,0,1,4
ClamChowder,16,3,15,11
CookeinaMushrooms,2,1,4,1
Corn,4,0,1,3
CornFritters,13,22,4,8
Cornmeal,9,3,3,0
CornStarch,0,0,0,0
CreosoteFlower,0,0,0,0
CriminiMushrooms,2,1,4,1
CrimsonSalad,13,8,7,28
CrispyBacon,0,26,18,0
DriedFish,1,2,16,0
DriedMeat,1,4,14,0
Ecoylent,500,500,500,500
ElkTaco,15,22,8,6
ElkWellington,10,22,26,4
FantasticForestPizza,23,10,4,17
FernCampfireSalad,9,1,5,13
Fiddleheads,2,0,1,5
FieldCampfireStew,14,8,4,4
FireweedShoots,3,0,1,4
FishNChips,20,20,10,0
Flatbread,17,3,8,2
FlaxFlower,0,0,0,0
FlaxseedOil,0,15,0,0
Flour,15,0,0,0
FriedCamas,9,10,3,2
FriedFiddleheads,11,6,3,4
FriedHareHaunches,6,27,15,4
FriedHeartsOfPalm,13,6,3,2
FriedTaro,14,8,1,1
FriedTomatoes,11,8,3,2
FriedVegetables,11,8,3,2
FruitMuffin,10,4,5,16
FruitSalad,12,3,4,19
FruitTart,22,9,3,14
GiantCactusFruit,2,2,0,4
HeartOfPalm,4,0,2,2
HeartyHometownPizza,28,11,7,3
Hosomaki,21,5,19,8
Huckleberries,2,0,0,6
HuckleberryExtract,0,0,0,15
HuckleberryFritter,16,20,0,8
HuckleberryPie,13,10,5,16
Hydrocolloids,0,0,0,0
InfusedOil,0,12,0,3
JungleCampfireSalad,11,3,4,10
JungleCampfireStew,8,11,8,3
KelpyCrabRoll,22,11,13,5
LeavenedDough,6,13,18,5
LiquidNitrogen,0,0,0,0
LoadedTaroFries,14,18,6,0
Macarons,20,14,7,16
Maltodextrin,0,0,0,0
MeatPie,18,20,4,2
MeatStock,3,9,8,0
MeatyStew,6,10,13,1
Milk,3,7,10,0
MillionairesSalad,18,6,6,26
Mochi,25,0,0,5
Oil,0,15,0,0
Orchid,0,0,0,0
Papaya,2,0,1,5
PastryDough,4,0,0,4
PhadThai,9,19,11,5
Pineapple,6,0,0,2
PineappleFriendRice,20,12,9,12
Pirozhok,14,10,19,4
PokeBowl,21,11,10,7
PreparedMeat,0,6,4,0
PricklyPearFruit,2,1,1,4
PrimeCut,0,4,9,0
Pumpkin,5,0,1,2
Pupusas,6,9,11,14
RawBacon,0,9,3,0
RawFish,0,3,7,0
RawMeat,0,8,4,0
RawRoast,0,5,6,0
RawSausage,0,8,4,0
RiceFlour,15,0,0,0
RiceNoodles,10,0,0,0
RoastPumpkin,23,2,2,7
RootCampfireSalad,8,4,5,11
RootCampfireStew,8,12,5,5
ScrapMeat,0,5,5,0
SearedMeat,4,17,19,7
SeededCamasRoll,20,13,2,16
SensuousSeaPizza,28,7,11,4
SharkFilletSoup,10,11,15,4
SimmeredMeat,6,13,18,5
SimpleSyrup,12,3,0,0
SmoothGutNoodleRoll,19,9,15,1
SpikyRoll,20,7,17,2
StuffedTurkey,17,16,24,7
Sugar,15,0,0,0
SunButter,0,0,0,0
SunCheese,2,12,4,0
Sunflower,2,4,2,0
SweetDeerJerky,4,6,22,3
SweetSalad,18,7,9,22
Tallow,0,8,0,0
TaroFries,10,20,2,0
TaroRoot,6,0,1,1
TastyTropicalPizza,21,12,6,11
Tomato,5,0,1,2
ToppedPorridge,10,0,4,10
Tortilla,20,0,10,0
Transglutaminase,0,0,0,0
TrilliumFlower,0,0,0,0
VegetableMedley,8,7,4,17
VegetableSoup,12,7,4,19
VegetableStock,11,2,1,11
Wheat,6,0,2,0
WildMix,15,4,6,21
WildStew,10,6,2,12
WiltedFiddleheads,4,0,1,7
WorldlyDonut,15,17,2,2
Yeast,0,0,8,7
